features,count,unique,top,freq,mean,std,min,25%,50%,75%,max,feat_count_null,feat_type
PassengerId,891.0,891,,,446.0,257.3538420152301,1.0,223.5,446.0,668.5,891.0,0,int64
Survived,891.0,2,,,0.3838383838383838,0.4865924542648585,0.0,0.0,0.0,1.0,1.0,0,int64
Pclass,891.0,3,,,2.308641975308642,0.8360712409770513,1.0,2.0,3.0,3.0,3.0,0,int64
Name,891,891,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",1,,,,,,,,0,object
Sex,891,2,male,577,,,,,,,,0,object
Age,714.0,89,,,29.69911764705882,14.526497332334044,0.42,20.125,28.0,38.0,80.0,177,float64
SibSp,891.0,7,,,0.5230078563411896,1.1027434322934275,0.0,0.0,0.0,1.0,8.0,0,int64
Parch,891.0,7,,,0.38159371492704824,0.8060572211299559,0.0,0.0,0.0,0.0,6.0,0,int64
Ticket,891,681,CA. 2343,7,,,,,,,,0,object
Fare,891.0,248,,,32.2042079685746,49.693428597180905,0.0,7.9104,14.4542,31.0,512.3292,0,float64
Cabin,204,148,C23 C25 C27,4,,,,,,,,687,object
Embarked,889,4,S,644,,,,,,,,2,object
